city,census
Grand Island city Nebraska,48520
Placentia city California,50533
La Crosse city Wisconsin,51320
Battle Creek city Michigan,52347
Beaumont city California,36877
Collierville town Tennessee,43965
West Lafayette city Indiana,29596
Florissant city Missouri,52158
Hoffman Estates village Illinois,51895
Joplin city Missouri,50150
Queen Creek town Arizona,26361
Aliso Viejo city California,47823
Kannapolis city North Carolina,42625
Methuen Town city Massachusetts,47255
Galveston city Texas,47743
Mishawaka city Indiana,48252
Plainfield city New Jersey,49808
Newark city Ohio,47573
Stillwater city Oklahoma,45688
Twin Falls city Idaho,44125
Texas City city Texas,45099
Cerritos city California,49041
Coral Gables city Florida,46780
Enid city Oklahoma,49379
Lakewood city Ohio,52131
Troy city New York,50129
